id,title,price,make_date,kilometrage,engine,fuel_id,body_type_id,number_of_doors,wheel_drive,gearbox,condition_type,color,damaged,steering_wheel,mot_date,wheel_radius,weight,number_of_seats,origin_country,euro_id,co2,fuel_cons_urban,fuel_cons_extra_urban,fuel_cons_combined,image
https://m.autoplius.lt/skelbimai/bmw-118-2-0-l-hecbekas-2009-dyzelinas-22990424.html,BMW 118,4 200,2009,260 000,"Variklis: 1995 cm³, 143 AG (105kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Mechaninė,,,Defektai: Be defektų,Vairo padėtis: Kairėje,,,"Nuosava masė, kg: 1320",Sėdimų vietų skaičius: 5,,,"CO₂ emisija, g/km: 119 g/km","Mieste: 5,4",Užmiestyje: 4,"Vidutinės: 4,5",58c98c02-4b9d-43b8-92ad-060d5eab1131.jpg
https://m.autoplius.lt/skelbimai/bmw-120-2-0-l-hecbekas-2010-dyzelinas-23404879.html,BMW 120,5 750,2010-01,269 000,"Variklis: 1995 cm³, 177 AG (130kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,,Spalva: Juoda,Defektai: Be defektų,Vairo padėtis: Kairėje,Tech. apžiūra iki: 2024-11,,"Nuosava masė, kg: 1375",Sėdimų vietų skaičius: 5,Pirmosios registracijos šalis: Vokietija,,"CO₂ emisija, g/km: 144 g/km","Mieste: 7,2","Užmiestyje: 4,4","Vidutinės: 5,4",a31d8823-33df-42e2-802b-5f3aab511151.jpg
https://m.autoplius.lt/skelbimai/bmw-116-2-0-l-hecbekas-2012-dyzelinas-23648985.html,BMW 116,6 200,2012,272 819,"Variklis: 1995 cm³, 116 AG (85kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Priekiniai,Pavarų dėžė: Mechaninė,Klimato valdymas: Oro kondicionierius,Spalva: Juoda,Defektai: Be defektų,Vairo padėtis: Kairėje,Tech. apžiūra iki: 2025-01,Ratlankių skersmuo: R16,,Sėdimų vietų skaičius: 5,,,"CO₂ emisija, g/km: ~ 114 g/km",,,,73667c4b-60dc-47c7-a9ea-4617e794ec3c.jpg
https://m.autoplius.lt/skelbimai/bmw-128-3-0-l-kabrioletas-2013-benzinas-23319417.html,BMW 128,10 000,2013-10,141 000,"Variklis: 2996 cm³, 234 AG (172kW)",Kuro tipas: Benzinas,Kuro tipas: Benzinas,Durų skaičius: 2/3,,Pavarų dėžė: Automatinė,,Spalva: Balta,Defektai: Be defektų,Vairo padėtis: Kairėje,,,,,,,,,,,27a276a8-c92e-47f5-8f38-bad26ee64c98.jpg
https://m.autoplius.lt/skelbimai/bmw-118-2-0-l-sedanas-2013-dyzelinas-23673245.html,BMW 118,10 300,2013-05,250 000,"Variklis: 1995 cm³, 143 AG (105kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,Klimato valdymas: Oro kondicionierius,Spalva: Kita,Defektai: Be defektų,Vairo padėtis: Kairėje,,Ratlankių skersmuo: R18,,Sėdimų vietų skaičius: 5,Pirmosios registracijos šalis: Vokietija,,,,,,fa8cd1d2-378a-4ee7-99c8-51cc8f92c45a.jpg
https://m.autoplius.lt/skelbimai/bmw-116-1-5-l-hecbekas-2016-dyzelinas-23325751.html,BMW 116,11 999,2016-09,239 000,"Variklis: 1496 cm³, 116 AG (85kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,Klimato valdymas: Klimato kontrolė,Spalva: Balta,Defektai: Be defektų,Vairo padėtis: Kairėje,Tech. apžiūra iki: 2024-10,Ratlankių skersmuo: R18,"Nuosava masė, kg: 1350",Sėdimų vietų skaičius: 5,Pirmosios registracijos šalis: Vokietija,Euro standartas: Euro 6,"CO₂ emisija, g/km: 96 g/km","Mieste: 4,1","Užmiestyje: 3,4","Vidutinės: 3,6",e02d6da9-6f2d-434f-89b3-be8f35156bc0.jpg
https://m.autoplius.lt/skelbimai/bmw-120-2-0-l-hecbekas-2015-dyzelinas-23552137.html,BMW 120,12 750,2015-08,234 000,"Variklis: 2000 cm³, 150 AG (110kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Mechaninė,Klimato valdymas: Klimato kontrolė,,Defektai: Be defektų,Vairo padėtis: Kairėje,,,,Sėdimų vietų skaičius: 5,,Euro standartas: Euro 6,,,,,7db9edfc-d76e-4a85-81cc-52f73f0e1bf0.jpg
https://m.autoplius.lt/skelbimai/bmw-120-2-0-l-hecbekas-2017-dyzelinas-23670239.html,BMW 120,13 000,2017-06,245 765,"Variklis: 1995 cm³, 150 AG (110kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,Klimato valdymas: Klimato kontrolė,Spalva: Pilka / sidabrinė,Defektai: Be defektų,Vairo padėtis: Kairėje,,Ratlankių skersmuo: R18,"Nuosava masė, kg: 1390",Sėdimų vietų skaičius: 5,Pirmosios registracijos šalis: Olandija,Euro standartas: Euro 6,"CO₂ emisija, g/km: 99 g/km","Mieste: 4,6","Užmiestyje: 3,5","Vidutinės: 3,9",9f408f13-58de-49b2-b5f7-3f1143da09d5.jpg
https://m.autoplius.lt/skelbimai/bmw-118-2-0-l-hecbekas-2016-dyzelinas-23567633.html,BMW 118,13 200,2016-12,259 652,"Variklis: 1995 cm³, 150 AG (110kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,Klimato valdymas: Klimato kontrolė,Spalva: Pilka / sidabrinė,Defektai: Be defektų,Vairo padėtis: Kairėje,Tech. apžiūra iki: 2024-03,Ratlankių skersmuo: R18,"Nuosava masė, kg: 1375",Sėdimų vietų skaičius: 5,Pirmosios registracijos šalis: Vokietija,,"CO₂ emisija, g/km: 99 g/km",Mieste: 6,Užmiestyje: 4,,6148256b-984e-4ade-9b18-c8da13efd371.jpg
https://m.autoplius.lt/skelbimai/bmw-118-1-5-l-hecbekas-2017-benzinas-23268637.html,BMW 118,14 500,2017-09,59 000,"Variklis: 1499 cm³, 136 AG (100kW)",Kuro tipas: Benzinas,Kuro tipas: Benzinas,Durų skaičius: 2/3,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,Klimato valdymas: Klimato kontrolė,Spalva: Mėlyna / žydra,Defektai: Be defektų,Vairo padėtis: Kairėje,,Ratlankių skersmuo: R18,"Nuosava masė, kg: 1315",Sėdimų vietų skaičius: 4,Pirmosios registracijos šalis: Prancūzija,Euro standartas: Euro 6,"CO₂ emisija, g/km: 112 g/km","Mieste: 5,9","Užmiestyje: 4,2","Vidutinės: 4,8",6a488001-94bf-4e9a-848e-51bf7c596597.jpg
