id,title,price,make_date,kilometrage,engine,fuel_id,body_type_id,number_of_doors,wheel_drive,gearbox,condition_type,color,damaged,steering_wheel,mot_date,wheel_radius,weight,number_of_seats,origin_country,euro_id,co2,fuel_cons_urban,fuel_cons_extra_urban,fuel_cons_combined,image
https://m.autoplius.lt/skelbimai/bmw-520-2-0-l-sedanas-2010-dyzelinas-22254796.html,BMW 520,10 500 €,Pagaminimo data: 2010-11,Rida: 275 000 km,"Variklis: 2000 cm³, 184 AG (135kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,Klimato valdymas: Klimato kontrolė,Spalva: Pilka / sidabrinė,Defektai: Be defektų,Vairo padėtis: Kairėje,Tech. apžiūra iki: 2023,Ratlankių skersmuo: R18,,Sėdimų vietų skaičius: 5,,,"CO₂ emisija, g/km: ~ 137 g/km",,,,5f56c074-b919-4833-9933-aea4e98756a4.jpg
https://m.autoplius.lt/skelbimai/bmw-528-2-0-l-sedanas-2013-benzinas-22976678.html,BMW 528,10 500 €,Pagaminimo data: 2013,Rida: 231 780 km,Variklis: 2000 cm³,Kuro tipas: Benzinas,Kuro tipas: Benzinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,,Spalva: Pilka / sidabrinė,Defektai: Kiti stambūs defektai,Vairo padėtis: Kairėje,,,,,Pirmosios registracijos šalis: JAV,,"CO₂ emisija, g/km: ~ 159 g/km",,,,70db8ad6-9fad-4750-9d15-fd1c46daa1e1.jpg
https://m.autoplius.lt/skelbimai/bmw-520-2-0-l-universalas-2011-dyzelinas-23508449.html,BMW 520,10 500 €,Pagaminimo data: 2011-11,Rida: 292 000 km,"Variklis: 1995 cm³, 184 AG (135kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,Klimato valdymas: Klimato kontrolė,Spalva: Juoda,Defektai: Be defektų,Vairo padėtis: Kairėje,,Ratlankių skersmuo: R18,"Nuosava masė, kg: 1715",Sėdimų vietų skaičius: 5,,Euro standartas: Euro 5,"CO₂ emisija, g/km: 139 g/km","Mieste: 6,5","Užmiestyje: 4,6","Vidutinės: 5,3",a085c4bc-32ac-4e7e-a2ff-cd82603b387e.jpg
https://m.autoplius.lt/skelbimai/bmw-530-3-0-l-universalas-2012-dyzelinas-23498357.html,BMW 530,10 500 €,Pagaminimo data: 2012,Rida: 390 551 km,"Variklis: 2993 cm³, 258 AG (190kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,Klimato valdymas: Klimato kontrolė,Spalva: Juoda,Defektai: Be defektų,Vairo padėtis: Kairėje,Tech. apžiūra iki: 2024-09,Ratlankių skersmuo: R19,,Sėdimų vietų skaičius: 5,,,"CO₂ emisija, g/km: ~ 145 g/km",,,,6b8837ab-91fb-4eb5-9967-81d30f169fb9.jpg
https://m.autoplius.lt/skelbimai/bmw-530-3-0-l-universalas-2012-dyzelinas-23159623.html,BMW 530,10 500 €,Pagaminimo data: 2012-07,Rida: 330 000 km,"Variklis: 2993 cm³, 258 AG (190kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Visi varantys (4х4),Pavarų dėžė: Automatinė,,Spalva: Mėlyna / žydra,Defektai: Be defektų,Vairo padėtis: Kairėje,Tech. apžiūra iki: 2025-02,Ratlankių skersmuo: R18,"Nuosava masė, kg: 1865",Sėdimų vietų skaičius: 5,Pirmosios registracijos šalis: Italija,Euro standartas: Euro 5,"CO₂ emisija, g/km: 149 g/km",Mieste: 9,"Užmiestyje: 6,5",Vidutinės: 7,52655f21-5c2a-4adf-9350-a48f43c00a0f.jpg
https://m.autoplius.lt/skelbimai/bmw-520-2-0-l-universalas-2011-dyzelinas-23361117.html,BMW 520,10 500 €,Pagaminimo data: 2011-09,Rida: 340 000 km,"Variklis: 1995 cm³, 184 AG (135kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,Klimato valdymas: Klimato kontrolė,,Defektai: Be defektų,Vairo padėtis: Kairėje,Tech. apžiūra iki: 2025-02,Ratlankių skersmuo: R19,"Nuosava masė, kg: 1715",Sėdimų vietų skaičius: 5,,Euro standartas: Euro 5,"CO₂ emisija, g/km: 139 g/km","Mieste: 6,5","Užmiestyje: 4,6","Vidutinės: 5,3",c1151066-5823-455d-a487-efe895df226d.jpg
https://m.autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2011-dyzelinas-23503423.html,BMW 525,10 500 €,Pagaminimo data: 2011-10,Rida: 249 000 km,"Variklis: 2993 cm³, 204 AG (150kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,,,Defektai: Be defektų,Vairo padėtis: Kairėje,,,"Nuosava masė, kg: 1705",Sėdimų vietų skaičius: 5,,,"CO₂ emisija, g/km: 160 g/km","Mieste: 7,7","Užmiestyje: 5,1","Vidutinės: 6,1",9f3db65a-98e5-41ae-b1e5-5a5c4d1160cc.jpg
https://m.autoplius.lt/skelbimai/bmw-530-3-0-l-universalas-2013-dyzelinas-21076484.html,BMW 530,10 500 €,Pagaminimo data: 2013,Rida: 294 000 km,"Variklis: 2993 cm³, 258 AG (190kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,Klimato valdymas: Klimato kontrolė,Spalva: Kita,Defektai: Be defektų,Vairo padėtis: Kairėje,,Ratlankių skersmuo: R19,"Nuosava masė, kg: 1820",Sėdimų vietų skaičius: 5,Pirmosios registracijos šalis: Danija,Euro standartas: Euro 5,"CO₂ emisija, g/km: 139 g/km","Mieste: 6,2","Užmiestyje: 4,7","Vidutinės: 5,3",26f0e8df-318c-42b0-a473-a2f4f8d9b06e.jpg
https://m.autoplius.lt/skelbimai/bmw-530-gran-turismo-3-0-l-hecbekas-2010-dyzelinas-23354215.html,BMW 530 Gran Turismo,10 500 €,Pagaminimo data: 2010-10,Rida: 354 258 km,"Variklis: 2993 cm³, 245 AG (180kW)",Kuro tipas: Dyzelinas,Kuro tipas: Dyzelinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,Klimato valdymas: Klimato kontrolė,Spalva: Kita,Defektai: Be defektų,Vairo padėtis: Kairėje,Tech. apžiūra iki: 2025-03,Ratlankių skersmuo: R19,,Sėdimų vietų skaičius: 5,Pirmosios registracijos šalis: Olandija,Euro standartas: Euro 5,"CO₂ emisija, g/km: ~ 173 g/km",,,,7566e519-afeb-4104-b96b-000ea8576256.jpg
https://m.autoplius.lt/skelbimai/bmw-535-3-0-l-sedanas-2011-benzinas-22344614.html,BMW 535,10 545 €,Pagaminimo data: 2011,Rida: 229 281 km,"Variklis: 2979 cm³, 306 AG (225kW)",Kuro tipas: Benzinas,Kuro tipas: Benzinas,Durų skaičius: 4/5,Varantieji ratai: Galiniai,Pavarų dėžė: Automatinė,,Spalva: Juoda,Defektai: Daužtas,Vairo padėtis: Kairėje,,,"Nuosava masė, kg: 1700",Sėdimų vietų skaičius: 5,Pirmosios registracijos šalis: JAV,Euro standartas: Euro 5,"CO₂ emisija, g/km: 195 g/km","Mieste: 11,9","Užmiestyje: 6,4","Vidutinės: 8,4",545fb172-7cae-444c-8190-ad1fb2324d2a.jpg
